Zipcode,Type,City,County,State
98001,Standard,Auburn,King County,WA
98002,Standard,Auburn,King County,WA
98003,Standard,Federal Way,King County,WA
98004,Standard,Bellevue,King County,WA
98005,Standard,Bellevue,King County,WA
98006,Standard,Bellevue,King County,WA
98007,Standard,Bellevue,King County,WA
98008,Standard,Bellevue,King County,WA
98009,Po Box,Bellevue,King County,WA
98010,Standard,Black Diamond,King County,WA
98011,Standard,Bothell,King County,WA
98012,Standard,Bothell,Snohomish County,WA
98013,Po Box,Burton,King County,WA
98014,Standard,Carnation,King County,WA
98015,Po Box,Bellevue,King County,WA
98019,Standard,Duvall,King County,WA
98020,Standard,Edmonds,Snohomish County,WA
98021,Standard,Bothell,Snohomish County,WA
98022,Standard,Enumclaw,King County,WA
98023,Standard,Federal Way,King County,WA
98024,Standard,Fall City,King County,WA
98025,Po Box,Hobart,King County,WA
98026,Standard,Edmonds,Snohomish County,WA
98027,Standard,Issaquah,King County,WA
98028,Standard,Kenmore,King County,WA
98029,Standard,Issaquah,King County,WA
98030,Standard,Kent,King County,WA
98031,Standard,Kent,King County,WA
98032,Standard,Kent,King County,WA
98033,Standard,Kirkland,King County,WA
98034,Standard,Kirkland,King County,WA
98035,Po Box,Kent,King County,WA
98036,Standard,Lynnwood,Snohomish County,WA
98037,Standard,Lynnwood,Snohomish County,WA
98038,Standard,Maple Valley,King County,WA
98039,Standard,Medina,King County,WA
98040,Standard,Mercer Island,King County,WA
98041,Po Box,Bothell,King County,WA
98042,Standard,Kent,King County,WA
98043,Standard,Mountlake Terrace,Snohomish County,WA
98045,Standard,North Bend,King County,WA
98046,Po Box,Lynnwood,Snohomish County,WA
98047,Standard,Pacific,King County,WA
98050,Po Box,Preston,King County,WA
98051,Standard,Ravensdale,King County,WA
98052,Standard,Redmond,King County,WA
98053,Standard,Redmond,King County,WA
98054,Standard,Redondo,King County,WA
98055,Standard,Renton,King County,WA
98056,Standard,Renton,King County,WA
98057,Standard,Renton,King County,WA
98058,Standard,Renton,King County,WA
98059,Standard,Renton,King County,WA
98061,Po Box,Rollingbay,Kitsap County,WA
98062,Po Box,Seahurst,King County,WA
98063,Po Box,Federal Way,King County,WA
98064,Po Box,Kent,King County,WA
98065,Standard,Snoqualmie,King County,WA
98068,Po Box,Snoqualmie Pass,Kittitas County,WA
98070,Standard,Vashon,King County,WA
98071,Po Box,Auburn,King County,WA
98072,Standard,Woodinville,King County,WA
98073,Po Box,Redmond,King County,WA
98074,Standard,Sammamish,King County,WA
98075,Standard,Sammamish,King County,WA
98077,Standard,Woodinville,King County,WA
98082,Po Box,Mill Creek,,WA
98083,Po Box,Kirkland,King County,WA
98087,Standard,Lynnwood,Snohomish County,WA
98089,Po Box,Kent,King County,WA
98092,Standard,Auburn,King County,WA
98093,Po Box,Federal Way,King County,WA
98101,Standard,Seattle,King County,WA
98102,Standard,Seattle,King County,WA
98103,Standard,Seattle,King County,WA
98104,Standard,Seattle,King County,WA
98105,Standard,Seattle,King County,WA
98106,Standard,Seattle,King County,WA
98107,Standard,Seattle,King County,WA
98108,Standard,Seattle,King County,WA
98109,Standard,Seattle,King County,WA
98110,Standard,Bainbridge Island,Kitsap County,WA
98111,Po Box,Seattle,King County,WA
98112,Standard,Seattle,King County,WA
98113,Po Box,Seattle,King County,WA
98114,Po Box,Seattle,King County,WA
98115,Standard,Seattle,King County,WA
98116,Standard,Seattle,King County,WA
98117,Standard,Seattle,King County,WA
98118,Standard,Seattle,King County,WA
98119,Standard,Seattle,King County,WA
98121,Standard,Seattle,King County,WA
98122,Standard,Seattle,King County,WA
98124,Po Box,Seattle,King County,WA
98125,Standard,Seattle,King County,WA
98126,Standard,Seattle,King County,WA
98127,Po Box,Seattle,King County,WA
98129,Unique,Seattle,King County,WA
98131,Standard,Seattle,King County,WA
98132,Standard,Seattle,King County,WA
98133,Standard,Seattle,King County,WA
98134,Standard,Seattle,King County,WA
98136,Standard,Seattle,King County,WA
98138,Po Box,Seattle,King County,WA
98139,Po Box,Seattle,King County,WA
98141,Po Box,Seattle,King County,WA
98144,Standard,Seattle,King County,WA
98145,Po Box,Seattle,King County,WA
98146,Standard,Seattle,King County,WA
98148,Standard,Seattle,King County,WA
98151,Unique,Seattle,King County,WA
98154,Standard,Seattle,King County,WA
98155,Standard,Seattle,King County,WA
98158,Standard,Seattle,King County,WA
98160,Po Box,Seattle,King County,WA
98161,Standard,Seattle,King County,WA
98164,Standard,Seattle,King County,WA
98165,Po Box,Seattle,King County,WA
98166,Standard,Seattle,King County,WA
98168,Standard,Seattle,King County,WA
98170,Unique,Seattle,King County,WA
98171,Standard,Seattle,King County,WA
98174,Standard,Seattle,King County,WA
98175,Po Box,Seattle,King County,WA
98177,Standard,Seattle,King County,WA
98178,Standard,Seattle,King County,WA
98181,Unique,Seattle,King County,WA
98184,Unique,Seattle,King County,WA
98185,Unique,Seattle,King County,WA
98188,Standard,Seattle,King County,WA
98189,Unique,Seattle,,WA
98190,Unique,Seattle,King County,WA
98191,Unique,Seattle,King County,WA
98194,Po Box,Seattle,King County,WA
98195,Unique,Seattle,King County,WA
98198,Standard,Seattle,King County,WA
98199,Standard,Seattle,King County,WA
98201,Standard,Everett,Snohomish County,WA
98203,Standard,Everett,Snohomish County,WA
98204,Standard,Everett,Snohomish County,WA
98205,Standard,Everett,Snohomish County,WA
98206,Po Box,Everett,Snohomish County,WA
98207,Unique,Everett,Snohomish County,WA
98208,Standard,Everett,Snohomish County,WA
98213,Po Box,Everett,Snohomish County,WA
98220,Standard,Acme,Whatcom County,WA
98221,Standard,Anacortes,Skagit County,WA
98222,Standard,Blakely Island,San Juan County,WA
98223,Standard,Arlington,Snohomish County,WA
98224,Po Box,Baring,King County,WA
98225,Standard,Bellingham,Whatcom County,WA
98226,Standard,Bellingham,Whatcom County,WA
98227,Po Box,Bellingham,Whatcom County,WA
98228,Po Box,Bellingham,Whatcom County,WA
98229,Standard,Bellingham,Whatcom County,WA
98230,Standard,Blaine,Whatcom County,WA
98231,Po Box,Blaine,Whatcom County,WA
98232,Standard,Bow,Skagit County,WA
98233,Standard,Burlington,Skagit County,WA
98235,Po Box,Clearlake,Skagit County,WA
98236,Standard,Clinton,Island County,WA
98237,Standard,Concrete,Skagit County,WA
98238,Po Box,Conway,Skagit County,WA
98239,Standard,Coupeville,Island County,WA
98240,Standard,Custer,Whatcom County,WA
98241,Standard,Darrington,Snohomish County,WA
98243,Po Box,Deer Harbor,San Juan County,WA
98244,Standard,Deming,Whatcom County,WA
98245,Standard,Eastsound,San Juan County,WA
98247,Standard,Everson,Whatcom County,WA
98248,Standard,Ferndale,Whatcom County,WA
98249,Standard,Freeland,Island County,WA
98250,Standard,Friday Harbor,San Juan County,WA
98251,Standard,Gold Bar,Snohomish County,WA
98252,Standard,Granite Falls,Snohomish County,WA
98253,Standard,Greenbank,Island County,WA
98255,Po Box,Hamilton,Skagit County,WA
98256,Po Box,Index,Snohomish County,WA
98257,Standard,La Conner,Skagit County,WA
98258,Standard,Lake Stevens,Snohomish County,WA
98259,Po Box,North Lakewood,Snohomish County,WA
98260,Standard,Langley,Island County,WA
98261,Standard,Lopez Island,San Juan County,WA
98262,Standard,Lummi Island,Whatcom County,WA
98263,Po Box,Lyman,Skagit County,WA
98264,Standard,Lynden,Whatcom County,WA
98266,Standard,Maple Falls,Whatcom County,WA
98267,Standard,Marblemount,Skagit County,WA
98270,Standard,Marysville,Snohomish County,WA
98271,Standard,Marysville,Snohomish County,WA
98272,Standard,Monroe,Snohomish County,WA
98273,Standard,Mount Vernon,Skagit County,WA
98274,Standard,Mount Vernon,Skagit County,WA
98275,Standard,Mukilteo,Snohomish County,WA
98276,Po Box,Nooksack,Whatcom County,WA
98277,Standard,Oak Harbor,Island County,WA
98278,Unique,Oak Harbor,Island County,WA
98279,Standard,Olga,San Juan County,WA
98280,Po Box,Orcas,San Juan County,WA
98281,Standard,Point Roberts,Whatcom County,WA
98282,Standard,Camano Island,Island County,WA
98283,Standard,Rockport,Skagit County,WA
98284,Standard,Sedro Woolley,Skagit County,WA
98286,Po Box,Shaw Island,San Juan County,WA
98287,Po Box,Silvana,Snohomish County,WA
98288,Po Box,Skykomish,King County,WA
98290,Standard,Snohomish,Snohomish County,WA
98291,Po Box,Snohomish,Snohomish County,WA
98292,Standard,Stanwood,Snohomish County,WA
98293,Po Box,Startup,Snohomish County,WA
98294,Standard,Sultan,Snohomish County,WA
98295,Standard,Sumas,Whatcom County,WA
98296,Standard,Snohomish,Snohomish County,WA
98297,Po Box,Waldron,San Juan County,WA
98303,Standard,Anderson Island,Pierce County,WA
98304,Standard,Ashford,Pierce County,WA
98305,Standard,Beaver,Clallam County,WA
98310,Standard,Bremerton,Kitsap County,WA
98311,Standard,Bremerton,Kitsap County,WA
98312,Standard,Bremerton,Kitsap County,WA
98314,Unique,Bremerton,Kitsap County,WA
98315,Standard,Silverdale,Kitsap County,WA
98320,Standard,Brinnon,Jefferson County,WA
98321,Standard,Buckley,Pierce County,WA
98322,Po Box,Burley,Kitsap County,WA
98323,Standard,Carbonado,Pierce County,WA
98324,Po Box,Carlsborg,Clallam County,WA
98325,Standard,Chimacum,Jefferson County,WA
98326,Standard,Clallam Bay,Clallam County,WA
98327,Standard,Dupont,Pierce County,WA
98328,Standard,Eatonville,Pierce County,WA
98329,Standard,Gig Harbor,Pierce County,WA
98330,Standard,Elbe,Pierce County,WA
98331,Standard,Forks,Jefferson County,WA
98332,Standard,Gig Harbor,Pierce County,WA
98333,Standard,Fox Island,Pierce County,WA
98335,Standard,Gig Harbor,Pierce County,WA
98336,Standard,Glenoma,Lewis County,WA
98337,Standard,Bremerton,Kitsap County,WA
98338,Standard,Graham,Pierce County,WA
98339,Standard,Port Hadlock,Jefferson County,WA
98340,Standard,Hansville,Kitsap County,WA
98342,Standard,Indianola,Kitsap County,WA
98343,Po Box,Joyce,Clallam County,WA
98344,Po Box,Kapowsin,Pierce County,WA
98345,Po Box,Keyport,Kitsap County,WA
98346,Standard,Kingston,Kitsap County,WA
98348,Po Box,La Grande,Thurston County,WA
98349,Standard,Lakebay,Pierce County,WA
98350,Po Box,La Push,Clallam County,WA
98351,Standard,Longbranch,Pierce County,WA
98352,Unique,Sumner,Pierce County,WA
98353,Po Box,Manchester,Kitsap County,WA
98354,Standard,Milton,Pierce County,WA
98355,Standard,Mineral,Lewis County,WA
98356,Standard,Morton,Lewis County,WA
98357,Po Box,Neah Bay,Clallam County,WA
98358,Standard,Nordland,Jefferson County,WA
98359,Standard,Olalla,Kitsap County,WA
98360,Standard,Orting,Pierce County,WA
98361,Standard,Packwood,Lewis County,WA
98362,Standard,Port Angeles,Clallam County,WA
98363,Standard,Port Angeles,Clallam County,WA
98364,Po Box,Port Gamble,Kitsap County,WA
98365,Standard,Port Ludlow,Jefferson County,WA
98366,Standard,Port Orchard,Kitsap County,WA
98367,Standard,Port Orchard,Kitsap County,WA
98368,Standard,Port Townsend,Jefferson County,WA
98370,Standard,Poulsbo,Kitsap County,WA
98371,Standard,Puyallup,Pierce County,WA
98372,Standard,Puyallup,Pierce County,WA
98373,Standard,Puyallup,Pierce County,WA
98374,Standard,Puyallup,Pierce County,WA
98375,Standard,Puyallup,Pierce County,WA
98376,Standard,Quilcene,Jefferson County,WA
98377,Standard,Randle,Lewis County,WA
98378,Po Box,Retsil,Kitsap County,WA
98380,Standard,Seabeck,Kitsap County,WA
98381,Standard,Sekiu,Clallam County,WA
98382,Standard,Sequim,Clallam County,WA
98383,Standard,Silverdale,Kitsap County,WA
98384,Po Box,South Colby,Kitsap County,WA
98385,Po Box,South Prairie,Pierce County,WA
98386,Po Box,Southworth,Kitsap County,WA
98387,Standard,Spanaway,Pierce County,WA
98388,Standard,Steilacoom,Pierce County,WA
98390,Standard,Sumner,Pierce County,WA
98391,Standard,Bonney Lake,Pierce County,WA
98392,Standard,Suquamish,Kitsap County,WA
98393,Po Box,Tracyton,Kitsap County,WA
98394,Standard,Vaughn,Pierce County,WA
98395,Po Box,Wauna,Pierce County,WA
98396,Po Box,Wilkeson,Pierce County,WA
98397,Po Box,Longmire,Pierce County,WA
98398,Po Box,Paradise Inn,Lewis County,WA
98401,Po Box,Tacoma,Pierce County,WA
98402,Standard,Tacoma,Pierce County,WA
98403,Standard,Tacoma,Pierce County,WA
98404,Standard,Tacoma,Pierce County,WA
98405,Standard,Tacoma,Pierce County,WA
98406,Standard,Tacoma,Pierce County,WA
98407,Standard,Tacoma,Pierce County,WA
98408,Standard,Tacoma,Pierce County,WA
98409,Standard,Tacoma,Pierce County,WA
98411,Po Box,Tacoma,Pierce County,WA
98412,Po Box,Tacoma,Pierce County,WA
98413,Standard,Tacoma,Pierce County,WA
98415,Po Box,Tacoma,Pierce County,WA
98416,Unique,Tacoma,Pierce County,WA
98417,Po Box,Tacoma,Pierce County,WA
98418,Standard,Tacoma,Pierce County,WA
98419,Po Box,Tacoma,Pierce County,WA
98421,Standard,Tacoma,Pierce County,WA
98422,Standard,Tacoma,Pierce County,WA
98424,Standard,Tacoma,Pierce County,WA
98430,Unique,Camp Murray,Pierce County,WA
98431,Unique,Tacoma,Pierce County,WA
98433,Standard,Tacoma,Pierce County,WA
98438,Po Box,Mcchord Afb,Pierce County,WA
98439,Standard,Lakewood,Pierce County,WA
98442,Standard,Tacoma,Pierce County,WA
98443,Standard,Tacoma,Pierce County,WA
98444,Standard,Tacoma,Pierce County,WA
98445,Standard,Tacoma,Pierce County,WA
98446,Standard,Tacoma,Pierce County,WA
98447,Unique,Tacoma,Pierce County,WA
98448,Po Box,Tacoma,Pierce County,WA
98450,Unique,Tacoma,Pierce County,WA
